행 레이블,합계 : 승차총승객수
2호선,524749
5호선,149824
가양,678008
9호선,678008
학동,678118
7호선,678118
광명사거리,681108
7호선,681108
구파발,690092
3호선,690092
서초,691469
2호선,691469
철산,695824
7호선,695824
문래,708431
2호선,708431
신용산,718532
4호선,718532
성신여대입구(돈암),733201
4호선,733201
청량리(서울시립대입구),745653
1호선,745653
발산,749959
5호선,749959
봉은사,754858
9호선2~3단계,754858
종로5가,755455
1호선,755455
봉천,757050
2호선,757050
잠실새내,761957
2호선,761957
신대방,765695
2호선,765695
신당,767707
2호선,482200
6호선,285507
뚝섬,783960
2호선,783960
안국,805699
3호선,805699
경복궁(정부서울청사),814015
3호선,814015
미아사거리,818417
4호선,818417
창동,852193
4호선,852193
까치산,854730
5호선,854730
영등포구청,860264
2호선,708626
5호선,151638
낙성대(강감찬),861370
2호선,861370
군자(능동),863543
7호선,479730
5호선,383813
신사,867076
3호선,867076
구의(광진구청),882652
2호선,882652
강변(동서울터미널),882947
2호선,882947
화곡,887615
5호선,887615
노량진,897929
9호선,897929
쌍문,900986
4호선,900986
회현(남대문시장),918954
4호선,918954
충무로,958657
4호선,958496
3호선,161
남부터미널(예술의전당),978400
3호선,978400
동대문,986347
4호선,582098
1호선,404249
압구정,997850
3호선,997850
신논현,1018693
9호선,1018693
공덕,1030068
6호선,584438
5호선,445630
대림(구로구청),1049762
2호선,756932
7호선,292830
수유(강북구청),1073445
4호선,1073445
양재(서초구청),1155912
3호선,1155912
당산,1164703
9호선,599381
2호선,565322
연신내,1166993
3호선,1166914
6호선,79
광화문(세종문화회관),1199608
5호선,1199608
신촌,1220727
2호선,1220727
천호(풍납토성),1226616
5호선,660324
8호선,566292
가산디지털단지,1226630
7호선,1226630
을지로3가,1238196
2호선,814193
3호선,424003
혜화,1259739
4호선,1259739
동대문역사문화공원(DDP),1261453
4호선,659853
2호선,502487
5호선,99113
명동,1277919
4호선,1277919
노원,1318672
4호선,661659
7호선,657013
종각,1355298
1호선,1355298
서울대입구(관악구청),1447546
2호선,1447546
교대(법원.검찰청),1457075
2호선,930450
3호선,526625
합정,1475953
2호선,1036460
6호선,439493
역삼,1475960
2호선,1475960
신도림,1537474
2호선,1537474
종로3가,1701616
1호선,856370
5호선,493019
3호선,352227
선릉,1710552
2호선,1710552
을지로입구,1716860
2호선,1716860
건대입구,1722072
2호선,1254688
7호선,467384
시청,1730019
1호선,880688
2호선,849331
신림,1741651
2호선,1741651
구로디지털단지,1744970
2호선,1744970
성수,1825534
2호선,1825534
여의도,1848179
9호선,953989
5호선,894190
삼성(무역센터),1879548
2호선,1879548
사당,2242089
2호선,1396999
4호선,845090
홍대입구,2440740
2호선,2440740
강남,2542600
2호선,2542600
서울역,2815423
1호선,2424539
4호선,390884
고속터미널,2823382
3호선,1728043
7호선,589945
9호선,505394
잠실(송파구청),3532372
2호선,2826797
8호선,705575
총합계,158681985
